source,target
SP_1207,SP_0611
SP_0232,SP_0959
SP_1489,SP_0435
SP_1366,SP_1365
SP_2162,SP_2164
SP_2162,SP_2161
SP_2162,SP_0063
SP_2162,SP_0283
SP_2162,SP_0284
SP_2162,SP_0061
SP_2162,SP_0282
SP_2162,SP_0064
SP_1823,SP_0185
SP_1823,SP_1551
SP_2252,SP_2267
SP_2252,SP_2279
SP_2242,SP_2298
SP_2242,SP_2271
SP_1825,SP_2043
SP_1825,SP_1824
SP_1825,SP_1826
SP_0629,SP_0369
SP_0629,SP_0872
SP_0629,SP_2010
SP_0629,SP_0336
SP_0629,SP_1673
SP_0629,SP_2099
SP_2171,SP_2169
SP_2171,SP_2170
SP_0179,SP_1697
SP_2084,SP_1400
SP_2084,SP_1397
SP_2084,SP_1396
SP_2084,SP_2087
SP_2084,SP_1398
SP_2084,SP_2085
SP_0403,SP_1540
SP_0403,SP_2203
SP_0403,SP_0002
SP_0403,SP_0993
SP_0403,SP_0895
SP_0403,SP_1117
SP_0403,SP_1908
SP_0403,SP_0032
SP_0403,SP_0274
SP_0403,SP_1072
SP_0403,SP_0865
SP_0403,SP_1156
SP_0403,SP_0936
SP_0403,SP_0765
SP_2127,SP_2128
SP_2127,SP_2030
SP_2127,SP_1615
SP_0303,SP_0578
SP_0477,SP_1184
SP_2087,SP_1398
SP_2087,SP_2085
SP_0446,SP_1163
SP_0446,SP_1164
SP_0446,SP_0445
SP_1273,SP_1274
SP_0556,SP_0232
SP_0556,SP_0959
SP_2055,SP_2026
SP_2055,SP_0285
SP_0437,SP_0438
SP_0437,SP_0436
SP_0284,SP_0061
SP_0284,SP_0282
SP_0284,SP_0064
SP_1399,SP_2086
SP_1399,SP_2084
SP_1399,SP_1400
SP_1399,SP_1397
SP_1399,SP_1396
SP_1399,SP_2087
SP_1399,SP_1398
SP_1399,SP_2085
SP_1607,SP_1867
SP_1607,SP_1828
SP_2164,SP_2161
SP_2164,SP_0063
SP_2164,SP_0283
SP_2164,SP_0284
SP_2164,SP_0061
SP_2164,SP_0282
SP_2164,SP_0064
SP_2283,SP_2296
SP_2283,SP_2242
SP_2283,SP_2298
SP_2283,SP_2271
SP_1020,SP_0439
SP_1020,SP_0755
SP_0758,SP_1176
SP_0758,SP_1684
SP_0406,SP_0173
SP_1087,SP_1206
SP_1087,SP_1207
SP_1087,SP_0611
SP_0750,SP_0751
SP_0750,SP_0753
SP_0750,SP_0752
SP_0480,SP_0078
SP_0480,SP_0479
SP_0480,SP_0079
SP_1812,SP_1811
SP_1940,SP_0036
SP_1940,SP_1672
SP_1940,SP_2227
SP_1540,SP_2203
SP_1540,SP_0002
SP_1540,SP_0993
SP_1540,SP_0895
SP_1540,SP_1117
SP_1540,SP_1908
SP_1540,SP_0032
SP_1540,SP_0274
SP_1540,SP_1072
SP_1540,SP_0865
SP_1540,SP_1156
SP_1540,SP_0936
SP_1540,SP_0765
SP_0148,SP_0620
SP_2282,SP_2243
SP_2282,SP_2295
SP_0936,SP_0765
SP_1888,SP_1527
SP_1649,SP_1648
SP_0245,SP_0459
SP_2086,SP_2084
SP_2086,SP_1400
SP_2086,SP_1397
SP_2086,SP_1396
SP_2086,SP_2087
SP_2086,SP_1398
SP_2086,SP_2085
SP_1861,SP_1860
SP_0290,SP_0197
SP_0872,SP_2010
SP_0872,SP_0336
SP_0872,SP_1673
SP_0872,SP_2099
SP_1122,SP_1123
SP_0993,SP_0895
SP_0993,SP_1117
SP_0993,SP_1908
SP_0993,SP_0032
SP_0993,SP_0274
SP_0993,SP_1072
SP_0993,SP_0865
SP_0993,SP_1156
SP_0993,SP_0936
SP_0993,SP_0765
SP_2163,SP_0062
SP_2163,SP_2162
SP_2163,SP_2164
SP_2163,SP_2161
SP_2163,SP_0063
SP_2163,SP_0283
SP_2163,SP_0284
SP_2163,SP_0061
SP_2163,SP_0282
SP_2163,SP_0064
SP_2291,SP_2247
SP_2291,SP_2253
SP_1389,SP_1386
SP_1817,SP_1816
SP_0063,SP_0283
SP_0063,SP_0284
SP_0063,SP_0061
SP_0063,SP_0282
SP_0063,SP_0064
SP_2298,SP_2271
SP_0352,SP_0353
SP_0718,SP_0725
SP_2043,SP_1824
SP_2043,SP_1826
SP_1650,SP_1649
SP_1650,SP_1648
SP_1176,SP_1684
SP_1192,SP_1193
SP_1961,SP_1960
SP_1961,SP_1737
SP_1855,SP_2055
SP_1855,SP_2026
SP_1855,SP_0285
SP_0476,SP_0478
SP_1185,SP_1186
SP_1185,SP_0476
SP_1185,SP_0478
SP_1400,SP_1397
SP_1400,SP_1396
SP_1400,SP_2087
SP_1400,SP_1398
SP_1400,SP_2085
SP_0274,SP_1072
SP_0274,SP_0865
SP_0274,SP_1156
SP_0274,SP_0936
SP_0274,SP_0765
SP_1191,SP_0896
SP_0855,SP_0852
SP_0310,SP_0249
SP_0310,SP_2024
SP_0310,SP_2022
SP_0310,SP_0248
SP_0310,SP_0305
SP_0310,SP_2023
SP_1276,SP_1275
SP_1701,SP_1700
SP_2299,SP_2249
SP_2299,SP_2262
SP_2299,SP_2250
SP_2299,SP_2274
SP_0366,SP_1889
SP_0366,SP_1887
SP_0366,SP_1891
SP_0366,SP_1888
SP_0366,SP_1527
SP_1387,SP_1388
SP_1387,SP_1389
SP_1387,SP_1386
SP_1206,SP_1207
SP_1206,SP_0611
SP_2142,SP_1675
SP_2142,SP_1324
SP_1852,SP_1829
SP_0273,SP_2214
SP_0273,SP_1489
SP_0273,SP_0435
SP_0037,SP_0851
SP_2258,SP_2291
SP_2258,SP_2247
SP_2258,SP_2253
SP_0717,SP_0724
SP_0877,SP_1618
SP_0877,SP_1617
SP_0877,SP_1619
SP_0282,SP_0064
SP_0749,SP_0750
SP_0749,SP_0751
SP_0749,SP_0753
SP_0749,SP_0752
SP_0806,SP_1219
SP_1084,SP_0187
SP_2249,SP_2262
SP_2249,SP_2250
SP_2249,SP_2274
SP_1884,SP_1885
SP_2285,SP_2246
SP_2214,SP_1489
SP_2214,SP_0435
SP_0751,SP_0753
SP_0751,SP_0752
SP_2245,SP_2288
SP_2128,SP_2030
SP_2128,SP_1615
SP_0753,SP_0752
SP_1751,SP_0185
SP_2269,SP_2281
SP_1889,SP_1887
SP_1889,SP_1891
SP_1889,SP_1888
SP_1889,SP_1527
SP_1388,SP_1389
SP_1388,SP_1386
SP_2203,SP_0002
SP_2203,SP_0993
SP_2203,SP_0895
SP_2203,SP_1117
SP_2203,SP_1908
SP_2203,SP_0032
SP_2203,SP_0274
SP_2203,SP_1072
SP_2203,SP_0865
SP_2203,SP_1156
SP_2203,SP_0936
SP_2203,SP_0765
SP_1330,SP_1685
SP_1396,SP_2087
SP_1396,SP_1398
SP_1396,SP_2085
SP_0438,SP_0436
SP_2244,SP_2297
SP_2264,SP_2255
SP_0427,SP_0426
SP_2256,SP_2289
SP_0036,SP_1672
SP_0036,SP_2227
SP_2169,SP_2170
SP_0439,SP_0755
SP_0002,SP_0993
SP_0002,SP_0895
SP_0002,SP_1117
SP_0002,SP_1908
SP_0002,SP_0032
SP_0002,SP_0274
SP_0002,SP_1072
SP_0002,SP_0865
SP_0002,SP_1156
SP_0002,SP_0936
SP_0002,SP_0765
SP_2030,SP_1615
SP_0842,SP_0835
SP_0078,SP_0479
SP_0078,SP_0079
SP_2263,SP_2266
SP_2263,SP_2251
SP_2263,SP_2278
SP_1458,SP_1563
SP_1397,SP_1396
SP_1397,SP_2087
SP_1397,SP_1398
SP_1397,SP_2085
SP_1186,SP_0476
SP_1186,SP_0478
SP_2266,SP_2251
SP_2266,SP_2278
SP_1491,SP_2184
SP_0259,SP_0179
SP_0259,SP_1697
SP_2284,SP_2263
SP_2284,SP_2266
SP_2284,SP_2251
SP_2284,SP_2278
SP_1672,SP_2227
SP_0396,SP_0394
SP_2243,SP_2295
SP_1590,SP_1589
SP_1673,SP_2099
SP_0355,SP_0352
SP_0355,SP_0353
SP_1279,SP_0970
SP_0357,SP_0360
SP_2273,SP_2261
SP_1398,SP_2085
SP_0248,SP_0305
SP_0248,SP_2023
SP_0061,SP_0282
SP_0061,SP_0064
SP_0336,SP_1673
SP_0336,SP_2099
SP_0250,SP_0308
SP_0250,SP_0474
SP_0250,SP_0310
SP_0250,SP_0249
SP_0250,SP_2024
SP_0250,SP_2022
SP_0250,SP_0248
SP_0250,SP_0305
SP_0250,SP_2023
SP_0351,SP_0355
SP_0351,SP_0352
SP_0351,SP_0353
SP_1317,SP_1510
SP_1317,SP_1508
SP_2248,SP_2277
SP_0032,SP_0274
SP_0032,SP_1072
SP_0032,SP_0865
SP_0032,SP_1156
SP_0032,SP_0936
SP_0032,SP_0765
SP_2276,SP_2264
SP_2276,SP_2255
SP_0895,SP_1117
SP_0895,SP_1908
SP_0895,SP_0032
SP_0895,SP_0274
SP_0895,SP_1072
SP_0895,SP_0865
SP_0895,SP_1156
SP_0895,SP_0936
SP_0895,SP_0765
SP_2161,SP_0063
SP_2161,SP_0283
SP_2161,SP_0284
SP_2161,SP_0061
SP_2161,SP_0282
SP_2161,SP_0064
SP_0062,SP_2162
SP_0062,SP_2164
SP_0062,SP_2161
SP_0062,SP_0063
SP_0062,SP_0283
SP_0062,SP_0284
SP_0062,SP_0061
SP_0062,SP_0282
SP_0062,SP_0064
SP_1475,SP_1474
SP_2109,SP_2108
SP_2109,SP_2110
SP_2247,SP_2253
SP_0660,SP_1359
SP_1117,SP_1908
SP_1117,SP_0032
SP_1117,SP_0274
SP_1117,SP_1072
SP_1117,SP_0865
SP_1117,SP_1156
SP_1117,SP_0936
SP_1117,SP_0765
SP_0611,SP_1540
SP_1675,SP_1324
SP_0185,SP_1551
SP_0964,SP_0963
SP_0251,SP_0245
SP_0251,SP_0459
SP_2265,SP_2248
SP_2265,SP_2277
SP_1164,SP_0445
SP_2026,SP_0285
SP_0675,SP_0648
SP_2296,SP_2242
SP_2296,SP_2298
SP_2296,SP_2271
SP_2262,SP_2250
SP_2262,SP_2274
SP_0493,SP_0236
SP_0493,SP_1961
SP_0493,SP_1960
SP_0493,SP_1737
SP_0479,SP_0079
SP_2294,SP_2269
SP_2294,SP_2281
SP_1072,SP_0865
SP_1072,SP_1156
SP_1072,SP_0936
SP_1072,SP_0765
SP_1616,SP_1983
SP_2293,SP_2276
SP_2293,SP_2264
SP_2293,SP_2255
SP_1891,SP_1888
SP_1891,SP_1527
SP_1618,SP_1617
SP_1618,SP_1619
SP_2196,SP_2198
SP_0831,SP_0835
SP_0831,SP_0842
SP_2197,SP_2196
SP_2197,SP_2198
SP_0305,SP_2023
SP_1233,SP_1232
SP_1824,SP_1826
SP_1908,SP_0032
SP_1908,SP_0274
SP_1908,SP_1072
SP_1908,SP_0865
SP_1908,SP_1156
SP_1908,SP_0936
SP_1908,SP_0765
SP_1908,SP_0611
SP_1468,SP_1467
SP_2275,SP_2284
SP_2275,SP_2263
SP_2275,SP_2266
SP_2275,SP_2251
SP_2275,SP_2278
SP_2268,SP_2280
SP_0236,SP_1961
SP_0236,SP_1960
SP_0236,SP_1737
SP_2021,SP_0265
SP_1161,SP_1588
SP_2254,SP_2292
SP_1081,SP_1966
SP_1867,SP_1828
SP_0283,SP_0284
SP_0283,SP_0061
SP_0283,SP_0282
SP_0283,SP_0064
SP_0369,SP_2099
SP_0369,SP_0872
SP_0369,SP_0336
SP_0369,SP_1673
SP_0581,SP_0579
SP_2270,SP_2282
SP_2270,SP_2243
SP_2270,SP_2295
SP_1179,SP_1180
SP_1617,SP_1619
SP_2010,SP_0369
SP_2010,SP_2099
SP_2010,SP_0336
SP_2010,SP_1673
SP_2260,SP_2257
SP_2260,SP_2259
SP_1816,SP_0665
SP_1887,SP_1891
SP_1887,SP_1888
SP_1887,SP_1527
SP_2250,SP_2274
SP_0865,SP_1156
SP_0865,SP_0936
SP_0865,SP_0765
SP_1097,SP_1645
SP_0358,SP_0360
SP_1510,SP_1508
SP_1163,SP_1164
SP_1163,SP_0445
SP_2024,SP_2022
SP_2024,SP_0248
SP_2024,SP_0305
SP_2024,SP_2023
SP_2290,SP_2260
SP_2290,SP_2257
SP_2290,SP_2259
SP_1960,SP_1737
SP_0474,SP_0310
SP_0474,SP_0249
SP_0474,SP_2024
SP_0474,SP_2022
SP_0474,SP_0248
SP_0474,SP_0305
SP_0474,SP_2023
SP_0249,SP_2024
SP_0249,SP_2022
SP_0249,SP_0248
SP_0249,SP_0305
SP_0249,SP_2023
SP_2251,SP_2278
SP_2108,SP_2110
SP_1329,SP_1676
SP_0308,SP_0474
SP_0308,SP_0310
SP_0308,SP_0249
SP_0308,SP_2024
SP_0308,SP_2022
SP_0308,SP_0248
SP_0308,SP_0305
SP_0308,SP_2023
SP_2042,SP_1825
SP_2042,SP_2043
SP_2042,SP_1824
SP_2042,SP_1826
SP_2022,SP_0248
SP_2022,SP_0305
SP_2022,SP_2023
SP_1156,SP_0936
SP_1156,SP_0765
SP_2257,SP_2259
SP_0359,SP_0358
SP_0359,SP_0360
SP_2267,SP_2279
SP_0396,SP_0730
SP_0394,SP_0730
SP_0396,SP_0446
SP_0396,SP_1163
SP_0396,SP_1164
SP_0396,SP_0445
SP_0394,SP_0446
SP_0394,SP_1163
SP_0394,SP_1164
SP_0394,SP_0445
SP_0396,SP_1014
SP_0394,SP_1014
SP_0396,SP_0351
SP_0396,SP_0355
SP_0396,SP_0352
SP_0396,SP_0353
SP_0394,SP_0351
SP_0394,SP_0355
SP_0394,SP_0352
SP_0394,SP_0353
SP_1745,SP_0897
SP_1817,SP_0897
SP_1816,SP_0897
SP_1220,SP_0897
SP_0665,SP_0897
SP_2163,SP_0730
SP_0062,SP_0730
SP_2162,SP_0730
SP_2164,SP_0730
SP_2161,SP_0730
SP_0063,SP_0730
SP_0283,SP_0730
SP_0284,SP_0730
SP_0061,SP_0730
SP_0282,SP_0730
SP_0064,SP_0730
SP_2163,SP_0446
SP_2163,SP_1163
SP_2163,SP_1164
SP_2163,SP_0445
SP_0062,SP_0446
SP_0062,SP_1163
SP_0062,SP_1164
SP_0062,SP_0445
SP_2162,SP_0446
SP_2162,SP_1163
SP_2162,SP_1164
SP_2162,SP_0445
SP_2164,SP_0446
SP_2164,SP_1163
SP_2164,SP_1164
SP_2164,SP_0445
SP_2161,SP_0446
SP_2161,SP_1163
SP_2161,SP_1164
SP_2161,SP_0445
SP_0063,SP_0446
SP_0063,SP_1163
SP_0063,SP_1164
SP_0063,SP_0445
SP_0283,SP_0446
SP_0283,SP_1163
SP_0283,SP_1164
SP_0283,SP_0445
SP_0284,SP_0446
SP_0284,SP_1163
SP_0284,SP_1164
SP_0284,SP_0445
SP_0061,SP_0446
SP_0061,SP_1163
SP_0061,SP_1164
SP_0061,SP_0445
SP_0282,SP_0446
SP_0282,SP_1163
SP_0282,SP_1164
SP_0282,SP_0445
SP_0064,SP_0446
SP_0064,SP_1163
SP_0064,SP_1164
SP_0064,SP_0445
SP_2163,SP_1014
SP_0062,SP_1014
SP_2162,SP_1014
SP_2164,SP_1014
SP_2161,SP_1014
SP_0063,SP_1014
SP_0283,SP_1014
SP_0284,SP_1014
SP_0061,SP_1014
SP_0282,SP_1014
SP_0064,SP_1014
SP_2163,SP_0351
SP_2163,SP_0355
SP_2163,SP_0352
SP_2163,SP_0353
SP_0062,SP_0351
SP_0062,SP_0355
SP_0062,SP_0352
SP_0062,SP_0353
SP_2162,SP_0351
SP_2162,SP_0355
SP_2162,SP_0352
SP_2162,SP_0353
SP_2164,SP_0351
SP_2164,SP_0355
SP_2164,SP_0352
SP_2164,SP_0353
SP_2161,SP_0351
SP_2161,SP_0355
SP_2161,SP_0352
SP_2161,SP_0353
SP_0063,SP_0351
SP_0063,SP_0355
SP_0063,SP_0352
SP_0063,SP_0353
SP_0283,SP_0351
SP_0283,SP_0355
SP_0283,SP_0352
SP_0283,SP_0353
SP_0284,SP_0351
SP_0284,SP_0355
SP_0284,SP_0352
SP_0284,SP_0353
SP_0061,SP_0351
SP_0061,SP_0355
SP_0061,SP_0352
SP_0061,SP_0353
SP_0282,SP_0351
SP_0282,SP_0355
SP_0282,SP_0352
SP_0282,SP_0353
SP_0064,SP_0351
SP_0064,SP_0355
SP_0064,SP_0352
SP_0064,SP_0353
SP_0106,SP_0730
SP_0106,SP_0446
SP_0106,SP_1163
SP_0106,SP_1164
SP_0106,SP_0445
SP_0106,SP_1014
SP_0106,SP_0351
SP_0106,SP_0355
SP_0106,SP_0352
SP_0106,SP_0353
SP_1745,SP_0396
SP_1745,SP_0394
SP_1745,SP_2163
SP_1745,SP_0062
SP_1745,SP_2162
SP_1745,SP_2164
SP_1745,SP_2161
SP_1745,SP_0063
SP_1745,SP_0283
SP_1745,SP_0284
SP_1745,SP_0061
SP_1745,SP_0282
SP_1745,SP_0064
SP_1745,SP_0106
SP_1745,SP_1176
SP_1745,SP_1220
SP_1745,SP_0730
SP_1745,SP_0758
SP_1745,SP_1722
SP_1745,SP_1329
SP_1745,SP_1676
SP_1745,SP_0446
SP_1745,SP_0445
SP_1745,SP_1884
SP_1745,SP_1885
SP_1745,SP_0251
SP_1745,SP_0245
SP_1745,SP_0459
SP_1745,SP_1163
SP_1745,SP_1164
SP_1745,SP_0250
SP_1745,SP_0308
SP_1745,SP_0474
SP_1745,SP_0310
SP_1745,SP_0249
SP_1745,SP_2024
SP_1745,SP_2022
SP_1745,SP_0248
SP_1745,SP_0305
SP_1745,SP_2023
SP_1745,SP_1014
SP_1745,SP_0317
SP_1745,SP_1185
SP_1745,SP_1186
SP_1745,SP_0476
SP_1745,SP_0478
SP_1745,SP_1173
SP_1745,SP_0877
SP_1745,SP_1618
SP_1745,SP_1617
SP_1745,SP_1619
SP_1745,SP_1684
SP_1745,SP_0351
SP_1745,SP_0355
SP_1745,SP_0352
SP_1745,SP_0353
SP_1176,SP_0730
SP_1176,SP_0446
SP_1176,SP_1163
SP_1176,SP_1164
SP_1176,SP_0445
SP_1176,SP_1014
SP_1176,SP_0351
SP_1176,SP_0355
SP_1176,SP_0352
SP_1176,SP_0353
SP_1220,SP_0730
SP_1220,SP_0446
SP_1220,SP_1163
SP_1220,SP_1164
SP_1220,SP_0445
SP_1220,SP_1014
SP_1220,SP_0351
SP_1220,SP_0355
SP_1220,SP_0352
SP_1220,SP_0353
SP_1817,SP_0396
SP_1817,SP_0394
SP_1816,SP_0396
SP_1816,SP_0394
SP_1817,SP_2163
SP_1817,SP_0062
SP_1817,SP_2162
SP_1817,SP_2164
SP_1817,SP_2161
SP_1817,SP_0063
SP_1817,SP_0283
SP_1817,SP_0284
SP_1817,SP_0061
SP_1817,SP_0282
SP_1817,SP_0064
SP_1816,SP_2163
SP_1816,SP_0062
SP_1816,SP_2162
SP_1816,SP_2164
SP_1816,SP_2161
SP_1816,SP_0063
SP_1816,SP_0283
SP_1816,SP_0284
SP_1816,SP_0061
SP_1816,SP_0282
SP_1816,SP_0064
SP_1817,SP_0106
SP_1816,SP_0106
SP_1817,SP_1176
SP_1816,SP_1176
SP_1817,SP_1220
SP_1816,SP_1220
SP_1817,SP_0730
SP_1816,SP_0730
SP_1817,SP_0758
SP_1816,SP_0758
SP_1817,SP_1722
SP_1816,SP_1722
SP_1817,SP_1329
SP_1817,SP_1676
SP_1816,SP_1329
SP_1816,SP_1676
SP_1817,SP_0446
SP_1817,SP_0445
SP_1816,SP_0446
SP_1816,SP_0445
SP_1817,SP_1884
SP_1817,SP_1885
SP_1816,SP_1884
SP_1816,SP_1885
SP_1817,SP_0251
SP_1817,SP_0245
SP_1817,SP_0459
SP_1816,SP_0251
SP_1816,SP_0245
SP_1816,SP_0459
SP_1817,SP_1163
SP_1817,SP_1164
SP_1816,SP_1163
SP_1816,SP_1164
SP_1817,SP_0250
SP_1817,SP_0308
SP_1817,SP_0474
SP_1817,SP_0310
SP_1817,SP_0249
SP_1817,SP_2024
SP_1817,SP_2022
SP_1817,SP_0248
SP_1817,SP_0305
SP_1817,SP_2023
SP_1816,SP_0250
SP_1816,SP_0308
SP_1816,SP_0474
SP_1816,SP_0310
SP_1816,SP_0249
SP_1816,SP_2024
SP_1816,SP_2022
SP_1816,SP_0248
SP_1816,SP_0305
SP_1816,SP_2023
SP_1817,SP_1014
SP_1816,SP_1014
SP_1817,SP_0317
SP_1816,SP_0317
SP_1817,SP_1185
SP_1817,SP_1186
SP_1817,SP_0476
SP_1817,SP_0478
SP_1816,SP_1185
SP_1816,SP_1186
SP_1816,SP_0476
SP_1816,SP_0478
SP_1817,SP_1173
SP_1816,SP_1173
SP_1817,SP_0877
SP_1817,SP_1618
SP_1817,SP_1617
SP_1817,SP_1619
SP_1816,SP_0877
SP_1816,SP_1618
SP_1816,SP_1617
SP_1816,SP_1619
SP_1817,SP_1684
SP_1816,SP_1684
SP_1817,SP_0351
SP_1817,SP_0355
SP_1817,SP_0352
SP_1817,SP_0353
SP_1816,SP_0351
SP_1816,SP_0355
SP_1816,SP_0352
SP_1816,SP_0353
SP_0758,SP_0730
SP_1722,SP_0730
SP_1329,SP_0730
SP_1676,SP_0730
SP_0446,SP_0730
SP_0445,SP_0730
SP_1884,SP_0730
SP_1885,SP_0730
SP_0251,SP_0730
SP_0245,SP_0730
SP_0459,SP_0730
SP_0250,SP_0730
SP_0308,SP_0730
SP_0474,SP_0730
SP_0310,SP_0730
SP_0249,SP_0730
SP_2024,SP_0730
SP_2022,SP_0730
SP_0248,SP_0730
SP_0305,SP_0730
SP_2023,SP_0730
SP_0317,SP_0730
SP_0665,SP_0730
SP_1185,SP_0730
SP_1186,SP_0730
SP_0476,SP_0730
SP_0478,SP_0730
SP_1173,SP_0730
SP_0877,SP_0730
SP_1618,SP_0730
SP_1617,SP_0730
SP_1619,SP_0730
SP_1684,SP_0730
SP_0758,SP_0446
SP_0758,SP_1163
SP_0758,SP_1164
SP_0758,SP_0445
SP_0758,SP_1014
SP_0758,SP_0351
SP_0758,SP_0355
SP_0758,SP_0352
SP_0758,SP_0353
SP_1722,SP_0446
SP_1722,SP_1163
SP_1722,SP_1164
SP_1722,SP_0445
SP_1722,SP_1014
SP_1722,SP_0351
SP_1722,SP_0355
SP_1722,SP_0352
SP_1722,SP_0353
SP_1329,SP_0446
SP_1329,SP_1163
SP_1329,SP_1164
SP_1329,SP_0445
SP_1676,SP_0446
SP_1676,SP_1163
SP_1676,SP_1164
SP_1676,SP_0445
SP_1329,SP_1014
SP_1676,SP_1014
SP_1329,SP_0351
SP_1329,SP_0355
SP_1329,SP_0352
SP_1329,SP_0353
SP_1676,SP_0351
SP_1676,SP_0355
SP_1676,SP_0352
SP_1676,SP_0353
SP_0446,SP_1014
SP_0445,SP_1014
SP_0446,SP_0351
SP_0446,SP_0355
SP_0446,SP_0352
SP_0446,SP_0353
SP_0445,SP_0351
SP_0445,SP_0355
SP_0445,SP_0352
SP_0445,SP_0353
SP_1220,SP_0396
SP_1220,SP_0394
SP_1220,SP_2163
SP_1220,SP_0062
SP_1220,SP_2162
SP_1220,SP_2164
SP_1220,SP_2161
SP_1220,SP_0063
