Gene,Value,padj
Rv0001,-0.36,0.004
Rv0002,-0.17,0.300
Rv0005,-0.32,0.010
Rv0006,0.21,0.164
Rv0007,-0.68,0.001
Rv0008c,-0.04,0.793
Rv0009,0.10,0.467
Rv0011c,-0.52,0.002
Rv0013,-0.34,0.001
Rv0014c,0.14,0.431
Rv0015c,-0.51,0.008
Rv0016c,0.08,0.670
Rv0017c,-0.23,0.536
Rv0018c,0.11,0.304
Rv0019c,-0.22,0.099
Rv0020c,0.32,0.007
Rv0023,0.23,0.073
Rv0025,-0.08,0.660
Rv0027,-0.60,0.002
Rv0028,0.03,0.872
Rv0029,-0.42,0.007
Rv0030,1.37,0.002
Rv0034,-0.18,0.261
Rv0035,-0.71,0.009
Rv0036c,0.11,0.304
Rv0038,0.48,0.002
Rv0041,-0.37,0.006
Rv0042c,-0.52,0.003
Rv0043c,-0.78,0.008
Rv0044c,-0.03,0.881
Rv0045c,0.26,0.004
Rv0046c,0.75,0.001
Rv0047c,0.07,0.792
Rv0048c,0.00,0.962
Rv0050,-0.30,0.069
Rv0051,-0.14,0.720
Rv0052,0.36,0.071
Rv0053,0.38,0.013
Rv0054,-0.33,0.047
Rv0055,-0.31,0.472
Rv0056,-0.94,0.000
Rv0059,-0.18,0.320
Rv0060,-0.30,0.111
Rv0061c,-3.44,0.000
Rv0062,-1.26,0.000
Rv0063,-0.59,0.131
Rv0066c,0.16,0.034
Rv0067c,0.12,0.841
Rv0068,-0.06,0.677
Rv0069c,-0.16,0.196
Rv0070c,-0.03,0.869
Rv0072,-0.81,0.001
Rv0073,0.28,0.674
Rv0074,0.27,0.391
Rv0075,-0.38,0.032
Rv0077c,0.46,0.014
Rv0078,0.05,0.874
Rv0078A,0.59,0.001
Rv0079,3.39,0.000
Rv0080,2.17,0.000
Rv0081,0.73,0.007
Rv0088,0.64,0.003
Rv0091,-0.31,0.051
Rv0092,-0.19,0.497
Rv0093c,-0.21,0.360
Rv0097,-0.47,0.106
Rv0098,-0.99,0.281
Rv0099,-0.21,0.540
Rv0103c,-0.71,0.303
Rv0108c,-0.33,0.198
Rv0110,-0.60,0.056
Rv0112,-0.30,0.331
Rv0116c,-1.21,0.000
Rv0117,0.45,0.064
Rv0118c,-0.72,0.001
Rv0119,-0.43,0.017
Rv0120c,-0.26,0.195
Rv0121c,0.38,0.406
Rv0123,0.74,0.013
Rv0125,-1.09,0.001
Rv0126,-0.20,0.015
Rv0127,0.08,0.425
Rv0129c,-0.56,0.148
Rv0130,-0.15,0.395
Rv0131c,-0.04,0.787
Rv0133,0.28,0.222
Rv0134,0.20,0.042
Rv0135c,0.07,0.772
Rv0136,-0.27,0.303
Rv0137c,0.25,0.056
Rv0138,0.33,0.085
Rv0139,-0.01,0.991
Rv0140,-0.49,0.090
Rv0141c,0.03,0.811
Rv0144,-0.34,0.002
Rv0145,-0.03,0.893
Rv0146,0.39,0.013
Rv0147,-0.05,0.798
Rv0148,-0.14,0.155
Rv0149,-0.23,0.100
Rv0153c,0.02,0.893
Rv0154c,-0.08,0.544
Rv0155,0.18,0.226
Rv0157,-0.20,0.194
Rv0157A,-2.03,0.015
Rv0158,0.30,0.052
Rv0161,0.01,0.949
Rv0162c,0.34,0.288
Rv0164,0.60,0.023
Rv0166,-0.99,0.001
Rv0167,-0.25,0.355
Rv0169,-0.99,0.003
Rv0170,-1.36,0.000
Rv0171,-1.55,0.000
Rv0172,-1.25,0.000
Rv0173,-1.49,0.000
Rv0174,-1.62,0.000
Rv0175,-0.36,0.001
Rv0176,-0.40,0.002
Rv0177,-0.60,0.002
Rv0178,-0.34,0.019
Rv0179c,-0.82,0.007
Rv0180c,0.02,0.901
Rv0181c,-0.20,0.155
Rv0182c,-0.52,0.029
Rv0183,0.35,0.003
Rv0184,-0.96,0.000
Rv0185,-0.53,0.012
Rv0186,-0.43,0.031
Rv0186A,2.28,0.000
Rv0187,-0.11,0.220
Rv0188,0.56,0.448
Rv0189c,-0.45,0.003
Rv0190,1.10,0.000
Rv0196,1.20,0.001
Rv0197,1.01,0.029
Rv0198c,-0.49,0.006
Rv0199,-0.55,0.000
Rv0200,-0.07,0.581
Rv0201c,-1.02,0.000
Rv0202c,-0.53,0.004
Rv0203,-1.98,0.002
Rv0206c,-0.74,0.002
Rv0207c,-0.58,0.000
Rv0208c,-0.94,0.000
Rv0211,0.70,0.002
Rv0214,-0.39,0.002
Rv0216,0.09,0.543
Rv0217c,-0.32,0.383
Rv0221,-0.03,0.845
Rv0222,0.31,0.167
Rv0223c,0.05,0.822
Rv0226c,-0.09,0.830
Rv0227c,-0.06,0.764
Rv0229c,-0.02,0.869
Rv0230c,-0.26,0.098
Rv0231,-0.35,0.022
Rv0233,1.35,0.000
Rv0234c,-0.22,0.220
Rv0236A,0.70,0.161
Rv0236c,-0.67,0.004
Rv0237,-0.70,0.001
Rv0238,0.20,0.805
Rv0241c,0.12,0.794
Rv0242c,-0.12,0.467
Rv0243,0.32,0.129
Rv0244c,3.62,0.000
Rv0245,0.81,0.001
Rv0247c,0.07,0.350
Rv0248c,-0.17,0.016
Rv0249c,-0.57,0.166
Rv0250c,-0.76,0.004
Rv0251c,2.31,0.000
Rv0262c,-0.24,0.180
Rv0263c,0.54,0.005
Rv0264c,0.43,0.018
Rv0266c,-0.17,0.337
Rv0267,0.03,0.947
Rv0270,0.27,0.001
Rv0271c,0.22,0.213
Rv0272c,-0.08,0.801
Rv0274,1.02,0.000
Rv0275c,0.97,0.005
Rv0281,-0.02,0.854
Rv0282,-0.62,0.002
Rv0283,-0.80,0.005
Rv0284,-0.19,0.249
Rv0286,-0.31,0.093
Rv0287,-1.86,0.000
Rv0289,-0.35,0.009
Rv0290,-0.82,0.001
Rv0291,-1.05,0.000
Rv0292,-0.54,0.001
Rv0293c,0.26,0.479
Rv0295c,-0.90,0.000
Rv0296c,-0.13,0.427
Rv0298,-0.13,0.604
Rv0299,-0.63,0.004
Rv0300,0.24,0.180
Rv0301,0.28,0.002
Rv0303,-0.17,0.286
Rv0306,-0.31,0.430
Rv0307c,0.67,0.044
Rv0308,0.12,0.811
Rv0309,-0.77,0.002
Rv0310c,0.11,0.585
Rv0311,0.83,0.002
Rv0312,-1.44,0.000
Rv0313,-0.47,0.120
Rv0314c,-0.48,0.016
Rv0315,-0.99,0.000
Rv0316,0.18,0.242
Rv0317c,-0.69,0.009
Rv0319,0.00,0.999
Rv0321,0.11,0.466
Rv0324,0.04,0.850
Rv0328,-0.02,0.937
Rv0329c,0.21,0.320
Rv0331,-0.11,0.517
Rv0332,-0.15,0.096
Rv0333,-0.02,0.889
Rv0334,0.33,0.060
Rv0337c,-0.61,0.002
Rv0338c,0.02,0.882
Rv0339c,0.00,0.999
Rv0342,0.18,0.567
Rv0343,-0.20,0.692
Rv0344c,-1.15,0.001
Rv0346c,-0.87,0.035
Rv0347,0.56,0.001
Rv0348,0.21,0.495
Rv0349,-0.32,0.554
Rv0350,0.35,0.054
Rv0351,0.09,0.593
Rv0352,0.37,0.019
Rv0353,0.24,0.331
Rv0356c,-0.27,0.050
Rv0357c,-0.06,0.414
Rv0360c,-0.52,0.009
Rv0361,-0.28,0.257
Rv0363c,0.32,0.005
Rv0364,0.20,0.595
Rv0365c,0.21,0.161
Rv0366c,0.41,0.029
Rv0367c,-0.74,0.103
Rv0376c,0.31,0.185
Rv0379,0.22,0.162
Rv0382c,0.37,0.025
Rv0383c,0.11,0.311
Rv0384c,-0.11,0.318
Rv0386,0.35,0.293
Rv0389,0.23,0.017
Rv0390,0.46,0.008
Rv0391,0.32,0.111
Rv0392c,-0.02,0.921
Rv0394c,0.32,0.070
Rv0397A,-0.27,0.377
Rv0398c,0.40,0.602
Rv0400c,-0.19,0.071
Rv0404,-0.57,0.029
Rv0405,-0.72,0.016
Rv0406c,-0.12,0.431
Rv0407,0.04,0.781
Rv0408,-0.20,0.093
Rv0409,-0.12,0.419
Rv0410c,0.26,0.085
Rv0411c,-0.21,0.010
Rv0412c,-0.31,0.046
Rv0413,-0.05,0.811
Rv0414c,0.42,0.016
Rv0415,0.01,0.933
Rv0417,0.01,0.962
Rv0418,-0.65,0.000
Rv0419,0.15,0.478
Rv0420c,-0.14,0.732
Rv0421c,-0.05,0.767
Rv0422c,0.09,0.803
Rv0423c,-0.18,0.249
Rv0424c,0.11,0.700
Rv0426c,2.07,0.000
Rv0427c,-0.09,0.584
Rv0428c,-0.25,0.038
Rv0429c,-0.01,0.962
Rv0430,-1.29,0.001
Rv0431,-0.31,0.144
Rv0432,-0.29,0.051
Rv0433,-0.23,0.034
Rv0434,-0.82,0.009
Rv0435c,0.26,0.127
Rv0436c,0.37,0.109
Rv0437c,0.15,0.228
Rv0438c,1.41,0.002
Rv0439c,0.09,0.203
Rv0440,-0.23,0.037
Rv0441c,0.51,0.007
Rv0443,0.37,0.001
Rv0444c,-0.09,0.366
Rv0445c,-0.07,0.678
Rv0450c,0.06,0.695
Rv0451c,-0.02,0.895
Rv0452,-0.43,0.591
Rv0455c,0.02,0.922
Rv0456c,-0.13,0.698
Rv0457c,0.43,0.002
Rv0458,-0.31,0.237
Rv0461,-0.16,0.263
Rv0462,-0.41,0.000
Rv0464c,0.16,0.213
Rv0465c,-0.46,0.546
Rv0466,0.15,0.042
Rv0467,2.72,0.000
Rv0468,0.24,0.009
Rv0469,0.05,0.399
Rv0470c,-0.37,0.037
Rv0472c,-0.55,0.007
Rv0473,0.47,0.003
Rv0474,0.17,0.058
Rv0475,0.30,0.398
Rv0476,-0.12,0.693
Rv0478,-1.28,0.006
Rv0479c,0.00,0.991
Rv0480c,0.16,0.520
Rv0482,0.11,0.479
Rv0483,-0.15,0.382
Rv0484c,0.33,0.004
Rv0485,1.11,0.009
Rv0486,0.36,0.084
Rv0487,-1.63,0.044
Rv0489,0.50,0.018
Rv0490,0.42,0.001
Rv0491,0.29,0.170
Rv0492c,1.28,0.000
Rv0493c,-0.29,0.050
Rv0495c,0.04,0.834
Rv0496,0.06,0.476
Rv0497,-0.69,0.002
Rv0498,0.07,0.898
Rv0500,-0.11,0.240
Rv0500A,-0.19,0.456
Rv0501,-0.66,0.000
Rv0502,-0.62,0.000
Rv0503c,-0.91,0.003
Rv0504c,0.27,0.171
Rv0505c,-0.04,0.536
Rv0508,-0.99,0.009
Rv0509,0.69,0.005
Rv0510,-0.10,0.412
Rv0511,-0.25,0.291
Rv0512,0.02,0.921
Rv0513,-1.34,0.000
Rv0516c,-1.09,0.002
Rv0517,-0.30,0.369
Rv0518,-0.31,0.131
Rv0523c,-0.14,0.501
Rv0524,0.06,0.531
Rv0525,0.11,0.370
Rv0526,-0.41,0.005
Rv0528,-1.15,0.000
Rv0529,-0.34,0.007
Rv0530,-0.20,0.041
Rv0531,-0.26,0.230
Rv0533c,0.23,0.157
Rv0535,-0.66,0.115
Rv0536,-0.12,0.156
Rv0537c,-0.67,0.146
Rv0538,-0.28,0.045
Rv0539,-1.16,0.001
Rv0540,0.24,0.126
Rv0543c,0.44,0.010
Rv0544c,-1.53,0.002
Rv0546c,0.20,0.280
Rv0547c,0.36,0.099
Rv0548c,0.04,0.771
Rv0549c,0.53,0.003
Rv0550c,-0.05,0.785
Rv0551c,-0.02,0.875
Rv0552,0.05,0.725
Rv0553,0.15,0.466
Rv0554,0.21,0.256
Rv0555,-0.03,0.811
Rv0556,-0.27,0.595
Rv0558,-0.13,0.678
Rv0559c,-0.83,0.001
Rv0560c,0.62,0.001
Rv0562,0.09,0.377
Rv0563,0.03,0.913
Rv0564c,-0.19,0.023
Rv0565c,-0.85,0.001
Rv0566c,0.00,0.973
Rv0567,-0.65,0.001
Rv0568,-0.29,0.350
Rv0569,6.73,0.000
Rv0570,1.87,0.000
Rv0571c,1.85,0.000
Rv0572c,1.35,0.003
Rv0573c,1.26,0.000
Rv0574c,1.60,0.000
Rv0575c,0.75,0.024
Rv0576,-0.03,0.771
Rv0577,0.27,0.036
Rv0580c,0.02,0.919
Rv0581,-0.11,0.467
Rv0582,0.61,0.062
Rv0583c,-0.51,0.006
Rv0585c,0.13,0.698
Rv0586,-0.28,0.327
Rv0587,1.16,0.000
Rv0595c,0.02,0.886
Rv0597c,0.36,0.018
Rv0598c,-0.34,0.009
Rv0599c,-0.20,0.078
Rv0613c,-0.50,0.005
Rv0617,0.27,0.104
Rv0624,0.02,0.909
Rv0626,0.31,0.494
Rv0630c,-0.08,0.515
Rv0631c,0.24,0.408
Rv0632c,-0.09,0.581
Rv0633c,-0.54,0.022
Rv0634A,-0.84,0.001
Rv0634B,-0.79,0.001
Rv0634c,0.21,0.046
Rv0635,-0.15,0.158
Rv0636,-0.23,0.035
Rv0637,-0.27,0.001
Rv0638,-0.67,0.001
Rv0639,0.31,0.020
Rv0640,-0.12,0.209
Rv0641,-0.14,0.152
Rv0642c,-0.67,0.000
Rv0643c,-0.97,0.000
Rv0644c,-0.53,0.005
Rv0645c,0.13,0.320
Rv0646c,-0.26,0.255
Rv0647c,0.31,0.057
Rv0651,-0.09,0.537
Rv0652,-0.41,0.071
Rv0654,0.75,0.000
Rv0655,-0.99,0.000
Rv0660c,-0.50,0.021
Rv0667,-0.34,0.001
Rv0668,-0.42,0.009
Rv0669c,-0.40,0.004
Rv0670,0.56,0.001
Rv0672,0.10,0.220
Rv0673,0.06,0.532
Rv0675,0.15,0.436
Rv0676c,0.38,0.212
Rv0677c,-0.67,0.003
Rv0678,0.05,0.840
Rv0679c,-0.57,0.002
Rv0681,-0.05,0.585
Rv0682,0.81,0.139
Rv0683,-0.27,0.412
Rv0684,-0.13,0.072
Rv0685,0.54,0.080
Rv0686,0.02,0.924
Rv0687,0.36,0.008
Rv0688,-0.26,0.054
Rv0690c,-0.21,0.098
Rv0692,-1.14,0.007
Rv0694,0.09,0.517
Rv0700,-0.24,0.140
Rv0701,0.21,0.604
Rv0702,-0.35,0.019
Rv0703,-0.51,0.053
Rv0704,1.44,0.042
Rv0705,-0.27,0.324
Rv0706,1.67,0.091
Rv0707,-0.24,0.303
Rv0708,0.72,0.175
Rv0709,-0.25,0.157
Rv0710,-0.33,0.524
Rv0711,-0.01,0.955
Rv0712,-0.11,0.639
Rv0713,-1.00,0.000
Rv0714,-0.22,0.083
Rv0715,-0.37,0.011
Rv0716,-0.15,0.509
Rv0717,0.66,0.202
Rv0718,-0.23,0.329
Rv0719,-0.12,0.756
Rv0720,-0.32,0.604
Rv0721,-0.52,0.007
Rv0722,-0.19,0.738
Rv0723,0.40,0.529
Rv0724,0.11,0.567
Rv0726c,-0.51,0.037
Rv0729,-0.53,0.141
Rv0730,0.07,0.645
Rv0731c,0.32,0.019
Rv0732,-0.07,0.538
Rv0733,0.05,0.695
Rv0734,-0.15,0.411
Rv0738,-0.14,0.295
Rv0743c,0.10,0.822
Rv0748,-1.08,0.052
Rv0751c,0.33,0.015
Rv0752c,0.34,0.017
Rv0753c,0.62,0.001
Rv0756c,0.42,0.206
Rv0757,0.05,0.766
Rv0758,0.03,0.913
Rv0759c,0.15,0.257
Rv0760c,-0.62,0.019
Rv0761c,-0.57,0.009
Rv0763c,-0.71,0.023
Rv0767c,0.61,0.031
Rv0768,0.33,0.002
Rv0769,-0.12,0.221
Rv0772,-0.25,0.169
Rv0773c,0.16,0.433
Rv0774c,-1.18,0.000
Rv0777,0.05,0.803
Rv0778,-0.37,0.006
Rv0779c,0.17,0.565
Rv0780,0.24,0.062
Rv0785,-0.32,0.073
Rv0786c,0.46,0.007
Rv0787,-0.59,0.295
Rv0787A,-0.16,0.359
Rv0788,-0.22,0.070
Rv0791c,0.02,0.905
Rv0792c,-0.01,0.991
Rv0794c,0.06,0.735
Rv0795,-0.10,0.723
Rv0798c,-0.34,0.013
Rv0799c,-0.29,0.081
Rv0800,-0.23,0.186
Rv0801,-0.35,0.108
Rv0802c,0.00,0.989
Rv0803,-0.21,0.072
Rv0806c,-0.80,0.015
Rv0807,-0.84,0.106
Rv0808,-0.58,0.012
Rv0809,-0.01,0.896
Rv0810c,0.39,0.204
Rv0811c,0.10,0.365
Rv0812,-0.59,0.016
Rv0813c,-0.14,0.538
Rv0814c,-0.22,0.017
Rv0815c,0.02,0.852
Rv0817c,0.17,0.133
Rv0818,-0.33,0.072
Rv0819,0.16,0.394
Rv0820,-0.22,0.030
Rv0821c,0.50,0.000
Rv0822c,-1.65,0.000
Rv0823c,0.65,0.000
Rv0824c,1.88,0.000
Rv0825c,-0.93,0.000
Rv0830,0.17,0.153
Rv0831c,0.03,0.849
Rv0839,0.18,0.682
Rv0840c,-0.63,0.000
Rv0844c,0.34,0.013
Rv0845,0.11,0.620
Rv0846c,0.77,0.000
Rv0852,0.03,0.930
Rv0853c,-0.05,0.774
Rv0854,0.22,0.142
Rv0855,-0.10,0.489
Rv0857,0.98,0.051
Rv0858c,0.17,0.127
Rv0859,1.11,0.000
Rv0860,0.78,0.000
Rv0861c,0.01,0.940
Rv0862c,-0.48,0.019
Rv0863,-0.05,0.809
Rv0864,0.14,0.157
Rv0865,0.15,0.771
Rv0866,0.34,0.419
Rv0870c,-1.70,0.001
Rv0871,0.05,0.729
Rv0873,0.12,0.514
Rv0875c,0.26,0.521
Rv0876c,0.38,0.099
Rv0877,0.40,0.009
Rv0880,-0.10,0.729
Rv0881,0.09,0.691
Rv0883c,-0.77,0.000
Rv0884c,0.13,0.543
Rv0885,1.19,0.001
Rv0886,0.00,0.999
Rv0887c,0.81,0.002
Rv0888,-0.45,0.004
Rv0889c,-0.03,0.913
Rv0890c,-0.64,0.003
Rv0896,-0.12,0.341
Rv0898c,0.44,0.157
Rv0899,-0.26,0.011
Rv0901,-0.42,0.091
Rv0902c,0.38,0.000
Rv0903c,-0.05,0.784
Rv0904c,-0.04,0.864
Rv0905,-0.04,0.816
Rv0906,0.32,0.050
Rv0908,0.45,0.077
Rv0909,-1.66,0.000
Rv0910,-0.22,0.180
Rv0911,-0.26,0.024
Rv0913c,0.31,0.054
Rv0914c,-0.19,0.244
Rv0920c,-0.20,0.199
Rv0923c,-0.28,0.375
Rv0925c,-0.28,0.015
Rv0926c,-0.02,0.913
Rv0927c,-0.01,0.939
Rv0928,-0.45,0.003
Rv0931c,0.23,0.009
Rv0932c,-0.42,0.002
Rv0933,-0.52,0.013
Rv0934,-0.96,0.000
Rv0936,-0.21,0.258
Rv0937c,0.23,0.056
Rv0938,0.03,0.852
Rv0939,0.36,0.050
Rv0940c,0.15,0.230
Rv0941c,-0.34,0.017
Rv0945,-0.40,0.416
Rv0946c,0.17,0.161
Rv0948c,-1.79,0.000
Rv0949,-0.13,0.427
Rv0951,-0.12,0.201
Rv0952,0.20,0.029
Rv0953c,0.21,0.164
Rv0954,-0.19,0.097
Rv0956,-0.40,0.040
Rv0957,-0.38,0.006
Rv0958,-0.19,0.194
Rv0959,-0.30,0.052
Rv0959A,-0.82,0.007
Rv0960,-0.31,0.236
Rv0966c,-0.72,0.017
Rv0967,2.04,0.000
Rv0968,0.86,0.000
Rv0969,1.13,0.000
Rv0971c,0.90,0.000
Rv0972c,1.06,0.000
Rv0973c,0.45,0.003
Rv0974c,0.83,0.000
Rv0975c,0.72,0.004
Rv0979A,0.97,0.089
Rv0981,0.22,0.025
Rv0982,0.49,0.000
Rv0983,-1.11,0.000
Rv0984,0.45,0.002
Rv0985c,-0.16,0.508
Rv0986,-0.10,0.524
Rv0987,0.26,0.332
Rv0988,-0.39,0.143
Rv0989c,-0.14,0.538
Rv0991c,-1.43,0.004
Rv0992c,0.04,0.872
Rv0993,-0.36,0.025
Rv0994,-0.56,0.004
Rv0998,0.35,0.018
Rv0999,-0.61,0.001
Rv1001,0.05,0.410
Rv1003,0.06,0.721
Rv1004c,-2.71,0.000
Rv1006,-0.09,0.419
Rv1007c,-0.14,0.055
Rv1008,-0.18,0.028
Rv1010,-0.11,0.506
Rv1011,0.04,0.793
Rv1013,-0.64,0.000
Rv1014c,-0.23,0.242
Rv1015c,-0.07,0.436
Rv1017c,-0.60,0.001
Rv1018c,-0.11,0.408
Rv1019,0.79,0.005
Rv1020,0.27,0.092
Rv1021,0.08,0.469
Rv1022,-0.39,0.230
Rv1023,-0.09,0.146
Rv1025,0.40,0.050
Rv1026,-0.03,0.909
Rv1027c,0.49,0.041
Rv1031,-0.74,0.072
Rv1033c,-0.59,0.015
Rv1035c,-0.86,0.104
Rv1045,0.20,0.333
Rv1050,0.09,0.811
Rv1056,0.36,0.004
Rv1058,0.16,0.441
Rv1059,-0.10,0.442
Rv1060,-0.22,0.076
Rv1061,1.03,0.002
Rv1062,-0.36,0.226
Rv1063c,0.45,0.011
Rv1066,0.20,0.524
Rv1069c,0.01,0.935
Rv1070c,0.19,0.051
Rv1071c,-0.30,0.012
Rv1072,-0.24,0.259
Rv1074c,-0.03,0.830
Rv1077,0.37,0.009
Rv1078,-0.05,0.881
Rv1079,-0.18,0.149
Rv1080c,-0.38,0.065
Rv1082,0.54,0.002
Rv1084,0.29,0.004
Rv1085c,-2.77,0.000
Rv1086,0.51,0.011
Rv1092c,-0.21,0.028
Rv1093,0.18,0.038
Rv1094,1.61,0.000
Rv1095,1.02,0.004
Rv1096,-1.67,0.000
Rv1097c,-0.16,0.320
Rv1098c,-0.41,0.005
Rv1099c,0.04,0.761
Rv1100,-0.17,0.114
Rv1101c,-0.14,0.311
Rv1103c,-0.27,0.320
Rv1106c,-0.19,0.226
Rv1107c,-1.82,0.011
Rv1108c,-0.24,0.279
Rv1109c,0.28,0.231
Rv1110,0.55,0.018
Rv1111c,-0.85,0.005
Rv1112,0.20,0.106
Rv1113,-0.10,0.538
Rv1117,-0.52,0.017
Rv1118c,-0.40,0.010
Rv1121,0.02,0.929
Rv1122,0.01,0.939
Rv1123c,-1.56,0.005
Rv1124,0.20,0.158
Rv1126c,0.17,0.154
Rv1127c,0.11,0.544
Rv1129c,0.54,0.053
Rv1130,0.46,0.085
Rv1131,0.89,0.029
Rv1132,0.13,0.092
Rv1133c,-0.55,0.000
Rv1140,-0.06,0.696
Rv1141c,-0.30,0.009
Rv1142c,-0.48,0.010
Rv1143,-0.02,0.969
Rv1144,-0.15,0.115
Rv1151c,0.15,0.372
Rv1152,-0.07,0.811
Rv1155,0.54,0.071
Rv1156,-0.06,0.801
Rv1157c,-0.99,0.001
Rv1159A,0.42,0.010
Rv1160,-0.92,0.044
Rv1161,0.23,0.103
Rv1162,0.02,0.898
Rv1165,-0.13,0.154
Rv1166,-0.15,0.143
Rv1167c,-0.42,0.004
Rv1170,-0.15,0.255
Rv1173,0.01,0.980
Rv1174c,-1.42,0.128
Rv1175c,-0.81,0.008
Rv1177,0.63,0.025
Rv1178,0.63,0.001
Rv1179c,0.11,0.421
Rv1180,-0.63,0.063
Rv1181,-0.65,0.005
Rv1182,-0.96,0.000
Rv1184c,-1.76,0.000
Rv1185c,-0.92,0.000
Rv1187,0.55,0.023
Rv1188,0.06,0.801
Rv1191,-0.05,0.767
Rv1192,-0.34,0.242
Rv1193,-0.33,0.002
Rv1194c,0.72,0.012
Rv1196,-0.69,0.020
Rv1198,-3.19,0.000
Rv1201c,-0.28,0.005
Rv1202,-0.13,0.058
Rv1204c,-0.41,0.081
Rv1206,-0.29,0.174
Rv1207,-0.52,0.000
Rv1208,-0.46,0.169
Rv1209,-0.74,0.043
Rv1210,-0.36,0.133
Rv1211,-0.55,0.009
Rv1213,0.55,0.026
Rv1215c,0.06,0.766
Rv1216c,-0.15,0.494
Rv1218c,0.67,0.000
Rv1219c,1.13,0.056
Rv1220c,0.34,0.008
Rv1221,1.14,0.000
Rv1222,-0.11,0.811
Rv1223,-0.32,0.017
Rv1224,-0.13,0.817
Rv1225c,0.41,0.009
Rv1226c,-0.10,0.423
Rv1229c,0.03,0.772
Rv1230c,-0.91,0.001
Rv1231c,0.15,0.211
Rv1232c,0.05,0.544
Rv1234,0.03,0.809
Rv1235,-0.30,0.003
Rv1237,-0.17,0.887
Rv1238,-0.22,0.031
Rv1239c,-0.13,0.388
Rv1240,0.12,0.301
Rv1241,-0.47,0.019
Rv1242,-0.23,0.402
Rv1244,-0.62,0.002
Rv1245c,0.50,0.010
Rv1247c,0.71,0.001
Rv1248c,-0.21,0.048
Rv1249c,0.79,0.021
Rv1251c,-0.43,0.070
Rv1252c,-2.38,0.000
Rv1253,0.15,0.685
Rv1257c,-0.14,0.293
Rv1259,-0.11,0.848
Rv1260,0.10,0.317
Rv1261c,-0.17,0.600
Rv1263,0.01,0.950
Rv1264,0.98,0.002
